event_id,data,miasto,latitude,longitude,gatunek,typ_obiektu,pojemnosc,bilety_sprzedane,cena_biletu_pln,przychod_pln
50001,2024-04-12,Poznań,52.4064,16.9252,hip-hop,klub,410,316,170.0,53720
50002,2025-03-11,Gdańsk,54.352,18.6466,folk,arena,5799,2512,130.0,326560
50003,2024-09-27,Warszawa,52.2297,21.0122,classical,klub,634,414,100.0,41400
50004,2024-04-16,Katowice,50.2649,19.0238,metal,klub,979,735,100.0,73500
50005,2024-03-12,Poznań,52.4064,16.9252,metal,klub,1430,808,80.0,64640
50006,2025-12-01,Poznań,52.4064,16.9252,classical,festiwal,22254,20661,220.0,4545420
50007,2024-01-21,Wrocław,51.1079,17.0385,reggae,klub,638,446,100.0,44600
50008,2025-09-06,Wrocław,51.1079,17.0385,hip-hop,teatr,1065,906,230.0,208380
50009,2024-05-01,Gdańsk,54.352,18.6466,hip-hop,arena,14045,10029,160.0,1604640
50010,2025-04-11,Warszawa,52.2297,21.0122,rock,klub,809,717,80.0,57360
50011,2024-08-02,Warszawa,52.2297,21.0122,folk,teatr,826,448,120.0,53760
50012,2024-11-26,Lublin,51.2465,22.5684,jazz,klub,1498,1416,70.0,99120
50013,2025-04-03,Szczecin,53.4285,14.5528,electronic,arena,12663,12032,200.0,2406400
50014,2024-03-28,Wrocław,51.1079,17.0385,reggae,festiwal,14837,9515,150.0,1427250
50015,2025-01-07,Kraków,50.0647,19.945,electronic,klub,1443,1353,130.0,175890
50016,2024-04-09,Gdańsk,54.352,18.6466,electronic,klub,1455,544,80.0,43520
50017,2025-10-25,Wrocław,51.1079,17.0385,classical,klub,527,377,80.0,30160
50018,2024-05-10,Warszawa,52.2297,21.0122,metal,amfiteatr,2966,444,150.0,66600
50019,2025-10-23,Warszawa,52.2297,21.0122,metal,festiwal,40771,31636,240.0,7592640
50020,2024-11-04,Łódź,51.7592,19.456,jazz,festiwal,75911,43036,190.0,8176840
50021,2024-12-09,Łódź,51.7592,19.456,classical,festiwal,30746,14602,150.0,2190300
50022,2025-05-06,Warszawa,52.2297,21.0122,electronic,klub,558,321,130.0,41730
50023,2025-02-17,Kraków,50.0647,19.945,indie,arena,14580,13250,170.0,2252500
50024,2025-01-20,Kraków,50.0647,19.945,metal,teatr,1747,1497,200.0,299400
50025,2024-07-10,Łódź,51.7592,19.456,reggae,klub,851,253,100.0,25300
50026,2024-10-03,Warszawa,52.2297,21.0122,reggae,klub,245,175,90.0,15750
50027,2024-06-09,Warszawa,52.2297,21.0122,rock,klub,799,388,130.0,50440
50028,2025-04-04,Katowice,50.2649,19.0238,pop,arena,7815,5296,210.0,1112160
50029,2024-11-09,Warszawa,52.2297,21.0122,indie,amfiteatr,3412,1324,100.0,132400
50030,2024-01-22,Gdańsk,54.352,18.6466,metal,klub,1492,721,100.0,72100
50031,2024-09-09,Kraków,50.0647,19.945,hip-hop,arena,11792,7661,210.0,1608810
50032,2025-07-14,Warszawa,52.2297,21.0122,metal,klub,580,395,100.0,39500
50033,2025-04-19,Kraków,50.0647,19.945,rock,amfiteatr,5713,5000,140.0,700000
50034,2024-02-28,Łódź,51.7592,19.456,reggae,klub,315,107,90.0,9630
50035,2025-05-25,Lublin,51.2465,22.5684,electronic,arena,12290,10597,210.0,2225370
50036,2025-11-12,Katowice,50.2649,19.0238,hip-hop,teatr,1903,1798,220.0,395560
50037,2025-04-20,Wrocław,51.1079,17.0385,classical,teatr,704,570,180.0,102600
50038,2025-11-30,Łódź,51.7592,19.456,folk,arena,11557,4404,110.0,484440
50039,2024-07-08,Kraków,50.0647,19.945,electronic,klub,722,503,110.0,55330
50040,2025-11-17,Kraków,50.0647,19.945,folk,klub,1438,1239,60.0,74340
50041,2025-07-16,Białystok,53.1325,23.1688,indie,klub,628,465,90.0,41850
50042,2025-07-20,Warszawa,52.2297,21.0122,pop,klub,990,409,150.0,61350
50043,2024-08-31,Warszawa,52.2297,21.0122,hip-hop,arena,6569,4762,260.0,1238120
50044,2025-05-19,Kraków,50.0647,19.945,jazz,klub,946,687,80.0,54960
50045,2024-05-10,Warszawa,52.2297,21.0122,hip-hop,klub,566,321,140.0,44940
50046,2025-04-29,Warszawa,52.2297,21.0122,metal,festiwal,67656,59865,190.0,11374350
50047,2025-10-08,Gdańsk,54.352,18.6466,reggae,amfiteatr,6133,3443,130.0,447590
50048,2024-01-21,Wrocław,51.1079,17.0385,metal,festiwal,27304,23495,270.0,6343650
50049,2024-06-15,Białystok,53.1325,23.1688,metal,klub,1277,878,120.0,105360
50050,2024-09-30,Katowice,50.2649,19.0238,indie,klub,1064,853,80.0,68240
50051,2025-01-22,Wrocław,51.1079,17.0385,electronic,amfiteatr,4329,3527,170.0,599590
50052,2025-08-23,Kraków,50.0647,19.945,jazz,klub,533,400,110.0,44000
50053,2024-11-11,Wrocław,51.1079,17.0385,jazz,klub,997,842,90.0,75780
50054,2024-01-14,Gdańsk,54.352,18.6466,metal,stadion,40827,39576,290.0,11477040
50055,2024-08-29,Kraków,50.0647,19.945,folk,festiwal,43040,23174,120.0,2780880
50056,2024-12-11,Gdańsk,54.352,18.6466,indie,festiwal,70354,53583,110.0,5894130
50057,2025-07-18,Wrocław,51.1079,17.0385,metal,klub,919,588,100.0,58800
50058,2024-12-05,Gdańsk,54.352,18.6466,pop,klub,699,565,140.0,79100
50059,2024-04-01,Wrocław,51.1079,17.0385,reggae,amfiteatr,4664,3708,100.0,370800
